Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2005-10-26,Parma,Messina,1,1,D,1,0,H,11.0,14.0,5.0,8.0,15.0,22.0,4.0,3.0,1,4,0,0
2005-10-26,Reggina,Treviso,1,2,A,0,1,A,10.0,5.0,5.0,3.0,14.0,20.0,8.0,3.0,1,3,0,0
2005-10-26,Siena,Fiorentina,0,2,A,0,1,A,13.0,8.0,7.0,4.0,12.0,21.0,8.0,2.0,5,1,0,0
2005-10-29,Milan,Juventus,3,1,H,3,0,H,7.0,4.0,4.0,3.0,26.0,26.0,6.0,2.0,2,3,0,0
2005-10-29,Sampdoria,Inter,2,2,D,2,2,D,11.0,12.0,8.0,7.0,13.0,20.0,4.0,8.0,1,2,0,0
2005-10-30,Chievo,Empoli,2,2,D,1,1,D,14.0,7.0,6.0,4.0,13.0,21.0,6.0,2.0,2,1,0,0
2005-10-30,Fiorentina,Cagliari,2,1,H,0,1,A,7.0,11.0,4.0,6.0,22.0,14.0,4.0,5.0,3,3,0,2
2005-10-30,Lecce,Messina,0,2,A,0,0,D,14.0,10.0,6.0,5.0,22.0,25.0,5.0,3.0,2,4,0,0
2005-10-30,Livorno,Parma,2,0,H,2,0,H,7.0,8.0,3.0,5.0,15.0,13.0,3.0,5.0,1,1,0,0
2005-10-30,Reggina,Lazio,1,0,H,0,0,D,12.0,5.0,5.0,2.0,23.0,20.0,3.0,4.0,2,4,0,0
2005-10-30,Roma,Ascoli,2,1,H,1,0,H,13.0,9.0,8.0,5.0,19.0,15.0,9.0,2.0,1,3,1,0
2005-10-30,Treviso,Siena,0,1,A,0,1,A,7.0,10.0,3.0,4.0,23.0,18.0,3.0,7.0,2,1,0,0
2005-10-30,Udinese,Palermo,0,0,D,0,0,D,10.0,9.0,2.0,3.0,31.0,28.0,6.0,6.0,2,2,0,0
2005-11-05,Empoli,Reggina,3,0,H,1,0,H,12.0,11.0,8.0,4.0,23.0,17.0,3.0,7.0,1,1,0,0
2005-11-05,Lazio,Inter,0,0,D,0,0,D,7.0,9.0,3.0,3.0,16.0,18.0,3.0,8.0,2,3,0,0
2005-11-06,Ascoli,Fiorentina,0,2,A,0,1,A,5.0,11.0,3.0,5.0,17.0,13.0,6.0,3.0,2,1,0,0
2005-11-06,Cagliari,Treviso,0,0,D,0,0,D,14.0,7.0,7.0,2.0,19.0,23.0,6.0,1.0,2,4,0,0
2005-11-06,Juventus,Livorno,3,0,H,0,0,D,18.0,7.0,7.0,3.0,21.0,19.0,8.0,5.0,3,2,0,1
2005-11-06,Messina,Roma,0,2,A,0,1,A,11.0,9.0,7.0,5.0,24.0,11.0,7.0,3.0,4,2,0,0
2005-11-06,Milan,Udinese,5,1,H,3,0,H,7.0,4.0,4.0,3.0,26.0,26.0,6.0,2.0,2,3,0,0
2005-11-06,Palermo,Sampdoria,0,2,A,0,1,A,15.0,8.0,7.0,3.0,18.0,19.0,6.0,4.0,2,4,0,0
2005-11-06,Parma,Lecce,2,0,H,1,0,H,5.0,10.0,3.0,4.0,20.0,20.0,6.0,3.0,1,3,0,0
2005-11-06,Siena,Chievo,0,1,A,0,1,A,13.0,8.0,5.0,5.0,28.0,18.0,10.0,1.0,3,3,0,1
2005-11-19,Roma,Juventus,1,4,A,0,1,A,9.0,9.0,3.0,6.0,31.0,21.0,3.0,6.0,3,3,0,1
2005-11-19,Udinese,Messina,1,0,H,0,0,D,18.0,5.0,11.0,3.0,20.0,21.0,10.0,0.0,3,3,0,0
2005-11-20,Chievo,Ascoli,1,1,D,1,1,D,11.0,10.0,6.0,4.0,18.0,21.0,10.0,6.0,0,3,0,0
2005-11-20,Fiorentina,Milan,3,1,H,1,1,D,6.0,16.0,3.0,5.0,21.0,18.0,2.0,10.0,1,2,0,0
2005-11-20,Inter,Parma,2,0,H,0,0,D,15.0,6.0,9.0,3.0,16.0,18.0,8.0,3.0,2,3,0,0
2005-11-20,Lecce,Siena,3,0,H,1,0,H,18.0,8.0,12.0,5.0,20.0,19.0,10.0,3.0,2,4,0,0
2005-11-20,Livorno,Empoli,2,0,H,1,0,H,14.0,5.0,5.0,2.0,16.0,29.0,4.0,3.0,3,1,0,0
2005-11-20,Reggina,Cagliari,3,1,H,2,0,H,11.0,4.0,7.0,1.0,26.0,27.0,2.0,5.0,2,3,1,1
2005-11-20,Sampdoria,Lazio,2,0,H,0,0,D,11.0,6.0,8.0,1.0,27.0,18.0,9.0,4.0,3,2,0,0
2005-11-20,Treviso,Palermo,2,2,D,2,1,H,8.0,11.0,4.0,6.0,20.0,18.0,4.0,3.0,1,0,0,0
2005-11-26,Livorno,Chievo,0,0,D,0,0,D,14.0,5.0,2.0,2.0,22.0,30.0,8.0,3.0,2,3,0,0
2005-11-26,Milan,Lecce,2,1,H,1,0,H,18.0,10.0,6.0,3.0,14.0,22.0,3.0,0.0,1,3,0,0
2005-11-27,Ascoli,Palermo,1,1,D,0,1,A,5.0,5.0,3.0,2.0,18.0,20.0,0.0,6.0,2,3,0,0
2005-11-27,Cagliari,Sampdoria,2,0,H,1,0,H,6.0,9.0,3.0,1.0,23.0,12.0,2.0,7.0,3,3,0,0
2005-11-27,Empoli,Lazio,2,3,A,0,1,A,12.0,12.0,8.0,8.0,20.0,16.0,5.0,9.0,1,3,1,0
2005-11-27,Juventus,Treviso,3,1,H,2,1,H,11.0,4.0,6.0,3.0,14.0,24.0,3.0,3.0,0,0,0,0
2005-11-27,Messina,Inter,1,2,A,0,1,A,12.0,14.0,6.0,5.0,20.0,12.0,5.0,8.0,2,1,0,0
2005-11-27,Parma,Udinese,1,2,A,0,1,A,7.0,9.0,2.0,5.0,24.0,23.0,3.0,2.0,2,1,0,0
2005-11-27,Roma,Fiorentina,1,1,D,1,0,H,9.0,8.0,5.0,3.0,22.0,24.0,6.0,4.0,3,1,1,0
2005-11-27,Siena,Reggina,0,0,D,0,0,D,1.0,7.0,0.0,2.0,18.0,19.0,1.0,3.0,3,2,1,0
2005-12-03,Chievo,Milan,2,1,H,1,1,D,10.0,13.0,5.0,4.0,19.0,19.0,3.0,3.0,2,3,0,0
2005-12-03,Inter,Ascoli,1,0,H,1,0,H,15.0,9.0,8.0,3.0,18.0,15.0,8.0,2.0,1,0,0,0
2005-12-04,Fiorentina,Juventus,1,2,A,1,1,D,,,,,,,,,0,3,0,0
2005-12-04,Lazio,Siena,3,2,H,1,0,H,,,,,,,,,0,0,0,0
2005-12-04,Lecce,Roma,2,2,D,0,2,A,,,,,,,,,2,3,0,0
2005-12-04,Palermo,Cagliari,2,2,D,2,0,H,,,,,,,,,5,3,0,0
2005-12-04,Reggina,Parma,2,1,H,2,1,H,,,,,,,,,2,3,0,1
2005-12-04,Sampdoria,Empoli,2,0,H,0,0,D,,,,,,,,,1,1,0,0
2005-12-04,Treviso,Messina,0,0,D,0,0,D,,,,,,,,,2,3,0,1
2005-12-04,Udinese,Livorno,0,2,A,0,1,A,,,,,,,,,2,3,0,0
2005-12-10,Fiorentina,Treviso,1,0,H,0,0,D,,,,,33.0,34.0,2.0,3.0,1,4,0,0
2005-12-10,Siena,Empoli,1,0,H,1,0,H,,,,,24.0,20.0,3.0,6.0,4,3,0,0
2005-12-11,Ascoli,Reggina,1,1,D,0,0,D,9.0,5.0,5.0,3.0,23.0,20.0,3.0,6.0,4,2,0,1
